taxon,prevalence,score,reference_status
Phascolarctobacterium,0.021660649819494584,0.8068491100322828,reference
Veillonella,0.5433212996389891,2.227969755174184,test
Negativicoccus,0.04693140794223827,0.9034529545021497,reference
Dialister,0.1967509025270758,1.0363258371870705,reference
Megasphaera,0.02888086642599278,0.8874068663835999,reference
Anaeroglobus,0.010830324909747292,0.7255283167228406,reference
Megamonas,0.009025270758122744,0.6990509995511072,reference
Streptococcus,0.9927797833935018,1.6636496412208945,test
Lactococcus,0.24368231046931407,1.5466336372669964,test
Gemella,0.4314079422382672,1.5913180076070412,test
Staphylococcus,0.6353790613718412,2.1478454412288706,test
Turicibacter,0.04151624548736462,0.7169826521443317,reference
Granulicatella,0.04151624548736462,0.9270711605546234,reference
Enterococcus,0.9007220216606499,2.2393546186330706,test
Dolosigranulum,0.0703971119133574,0.8375944544644972,reference
Lactobacillus,0.5415162454873647,2.768034931120984,test
Leuconostoc,0.03790613718411552,0.8741147201863163,reference
Family_XIII_AD3011_group,0.01263537906137184,0.7152499612574423,reference
Terrisporobacter,0.09386281588447654,1.2450466403604596,reference
Paeniclostridium,0.018050541516245487,0.7930188039984744,reference
Intestinibacter,0.6173285198555957,1.9591430118657573,test
Clostridioides,0.08844765342960288,1.3704706308936565,reference
Peptostreptococcus,0.01263537906137184,0.7669921378766336,reference
Romboutsia,0.4566787003610108,1.5366813122261704,test
Solobacterium,0.02527075812274368,0.7508196523306039,reference
Holdemanella,0.0812274368231047,1.1398225939208826,reference
Faecalicoccus,0.016245487364620937,0.8450724156320901,reference
Faecalitalea,0.023465703971119134,0.8864353055842222,reference
[Clostridium]_innocuum_group,0.42057761732851984,1.7939100216183688,test
Coprobacillus,0.01263537906137184,0.8066729370774957,reference
Erysipelotrichaceae_UCG-003,0.5631768953068592,1.3113344469854815,reference
Erysipelatoclostridium,0.8953068592057761,1.9147282304230901,test
Eubacterium,0.039711191335740074,1.0084400059278669,reference
Christensenellaceae_R-7_group,0.019855595667870037,0.7065781911607634,reference
Stenotrophomonas,0.010830324909747292,0.6814173956448354,reference
Pseudomonas,0.023465703971119134,0.6978293992618281,reference
Halomonas,0.032490974729241874,0.7179336867346133,reference
8_Comamonadaceae(F),0.01444043321299639,0.6901871372903431,reference
Delftia,0.04151624548736462,0.8224145706777264,reference
Sutterella,0.030685920577617327,0.8288253757939289,reference
Haemophilus,0.35379061371841153,2.0150535728713113,test
9_Pasteurellaceae(F),0.009025270758122744,0.7244903772615593,reference
Acinetobacter,0.05595667870036101,0.7824925919058995,reference
Bilophila,0.04151624548736462,0.9165635603634817,reference
Fusobacterium,0.04332129963898917,0.870184504121833,reference
Brevundimonas,0.023465703971119134,0.7155401924814326,reference
Akkermansia,0.5018050541516246,1.4230502834196557,reference
Blastococcus,0.01263537906137184,0.6786965671892433,reference
Corynebacterium,0.2364620938628159,1.2087490202587081,reference
Lawsonella,0.019855595667870037,0.7427971128670972,reference
Cutibacterium,0.03429602888086643,0.7969333168204562,reference
Actinomyces,0.6570397111913358,2.0202591666562166,test
Varibaculum,0.11913357400722022,1.3836381262861335,reference
Dermabacter,0.030685920577617327,0.8231709147701549,reference
Actinotignum,0.010830324909747292,0.7414055146775399,reference
Rothia,0.6191335740072202,2.039204793974946,test
Parabacteroides,0.1931407942238267,2.061302048065248,test
Porphyromonas,0.01263537906137184,0.6939465764559898,reference
Coprobacter,0.01263537906137184,0.827597032511066,reference
Alistipes,0.07220216606498195,1.0036953196610099,reference
Gordonibacter,0.036101083032490974,0.9151817859633788,reference
Senegalimassilia,0.09566787003610108,1.371052763038604,reference
Eggerthella,0.3447653429602888,1.7919146162250996,test
Slackia,0.018050541516245487,0.7845506034372364,reference
Atopobium,0.13537906137184116,1.0214059166403047,reference
Olsenella,0.01263537906137184,0.887500409503577,reference
Libanicoccus,0.021660649819494584,0.953394213703099,reference
Collinsella,0.855595667870036,2.1798222655802797,test
Anaerococcus,0.08664259927797834,0.8872076179040819,reference
Finegoldia,0.07220216606498195,0.863204372886087,reference
Peptoniphilus,0.07942238267148015,1.0538695861635956,reference
Fenollaria,0.010830324909747292,0.7021344358658668,reference
Clostridium_sensu_strict18,0.016245487364620937,0.8174729254598967,reference
Sarcina,0.010830324909747292,0.7205287952291102,reference
Clostridium_sensu_strict1,0.8014440433212996,2.0871404463190824,test
Butyricicoccus,0.016245487364620937,0.7569116064231238,reference
Incertae_Sedis,0.05595667870036101,0.8929463163456116,reference
UBA1819,0.04332129963898917,0.9747527267402449,reference
Faecalibacterium,0.5956678700361011,1.532841094404234,test
Subdoligranulum,0.24187725631768953,1.1701526102526467,reference
Ruminococcus,0.02527075812274368,0.72781211695005,reference
CAG-352,0.17870036101083034,1.045871440962729,reference
Flavonifractor,0.10469314079422383,1.1590437077891411,reference
[Eubacterium]_coprostanoligenegroup,0.023465703971119134,0.7258009744401464,reference
Clostridia_UCG-014,0.02888086642599278,0.7521334640549522,reference
Monoglobus,0.018050541516245487,0.721289027717879,reference
Epulopiscium,0.021660649819494584,0.8313424467202817,reference
[Eubacterium]_hallii_group,0.0740072202166065,0.9074193512998426,reference
Anaerostipes,0.8357400722021661,1.4887888095697044,test
Lachnospiraceae_ND3007_group,0.009025270758122744,0.6760325549224746,reference
[Eubacterium]_eligengroup,0.05415162454873646,0.8056335580164702,reference
Lachnospira,0.01263537906137184,0.6978395271451696,reference
Hungatella,0.06498194945848375,1.0449880876067899,reference
Prevotella,0.09386281588447654,1.0463720570879413,reference
Bacteroides,0.9061371841155235,2.482703338394933,test
Bifidobacterium,1,1.4293692120334331,reference
Scardovia,0.04512635379061372,0.8789628580276359,reference
[Ruminococcus]_torquegroup,0.10649819494584838,1.3875487970738591,reference
Sellimonas,0.05054151624548736,1.1019870746995633,reference
uncultured18,0.02527075812274368,1.0840272395428041,reference
Lachnoclostridium,0.17148014440433212,1.602629529331349,test
[Ruminococcus]_gnavugroup,0.9747292418772563,1.7351638415171178,test
Dorea,0.04512635379061372,1.1826033840957444,reference
Coprococcus,0.010830324909747292,0.7515991637460824,reference
Tyzzerella,0.13537906137184116,1.3278545836519375,reference
22_Lachnospiraceae(F),0.0740072202166065,1.1298741895867632,reference
Roseburia,0.08844765342960288,1.046456671941111,reference
Agathobacter,0.2833935018050541,1.4183106989058685,reference
Proteus,0.032490974729241874,0.9987700724107614,reference
Morganella,0.010830324909747292,0.795707743526143,reference
24_Enterobacteriaceae(F),0.7490974729241877,2.6027523793153495,test
Escherichia-Shigella,0.9711191335740073,2.102756528374698,test
[Ruminococcus]_gauvreauii_group,0.019855595667870037,0.9331408705699745,reference
Lachnoanaerobaculum,0.016245487364620937,0.7012005733765495,reference
Fusicatenibacter,0.5397111913357401,1.6885623243443637,test
Lachnospiraceae_NK4A136_group,0.02527075812274368,0.7567204459352668,reference
Blautia,0.9909747292418772,1.3529861070891596,reference
