taxon_id,d.wass,d.wass^2,d.comp^2,d.comp,location,size,shape,rho,pval,p.ad.gpd,N.exc,gpd.shape,perc.loc,perc.size,perc.shape,decomp.error,p.adj,n_group1,n_group2,taxon
Phascolarctobacterium,0.41770249900434614,0.1744753776744758,0.173461130964747,0.4164866516045226,0.002428517971776457,0.11864823105289111,0.05238438194007943,0.9407723590322485,0.1831831831831832,NA,NA,NA,1.4,68.4,30.2,0.0058131223055502,0.29512846179512847,179,375,Phascolarctobacterium
Veillonella,0.8287071563195835,0.6867555509352905,0.6889458070559475,0.8300275941533194,0.29297489556737605,0.004791280098192432,0.3911796313903791,0.9692217814169337,0.008831905737027778,0.09841743025210535,220,0.05804757583692567,42.53,0.7,56.78,0.003189280549205753,0.03658932376768651,179,375,Veillonella
Negativicoccus,0.38245575399211335,0.1462724037616759,0.14721088311294372,0.38368070463986553,9.534991148059601e-4,0.09647510760035914,0.0497822763977786,0.9639339759843031,0.17217217217217218,NA,NA,NA,0.65,65.54,33.82,0.006415969978840863,0.28863148863148863,179,375,Negativicoccus
Dialister,0.1895434860589332,0.03592673310737301,0.03678629279702725,0.19179753073756514,0.0051007375959940225,0.016259510943344862,0.015426044257688367,0.9930739120052506,0.5535535535535535,NA,NA,NA,13.87,44.2,41.93,0.0239253507154491,0.6234195360408952,179,375,Dialister
Megasphaera,0.4305858260121807,0.18540415356259196,0.18680872982193544,0.4322137547810521,0.0019454289027277416,2.2516264209165264e-5,0.18484078465499854,0.8316292976885791,0.23923923923923923,NA,NA,NA,1.04,0.01,98.95,0.007575754007416613,0.3469822763940411,179,375,Megasphaera
Anaeroglobus,0.26071160869037996,0.0679705429059258,0.07273395573047736,0.26969233532022624,0.00486884607401845,0.028792916010410036,0.039072193646048886,0.8990270863996715,0.3483483483483483,NA,NA,NA,6.69,39.59,53.72,0.07008054696788779,0.444048444048444,179,375,Anaeroglobus
Megamonas,0.25442783154730164,0.0647335214658621,0.06535973422684252,0.2556554991132452,0.00607859659589647,0.031008550328132253,0.028272587302813797,0.8722599625183912,0.06406406406406406,NA,NA,NA,9.3,47.44,43.26,0.009673701457917128,0.15166186594758024,179,375,Megamonas
Streptococcus,0.7457734696558934,0.5561780680425897,0.559902223702005,0.748266144965817,0.40935392334581494,2.1743809904310664e-4,0.15033086225714704,0.9646381613008387,6.2324724357719275e-6,0.05778915450191058,150,-7.686270373973022e-4,73.11,0.04,26.85,0.0066959771939985036,7.229668025495436e-5,179,375,Streptococcus
Lactococcus,1.8427940371308458,3.395889863285001,3.4203925885238684,1.8494303416251905,0.9165332303497947,2.2738003053142815,0.23005905285979217,0.9438193161649849,0,0.6145654107910661,250,-0.10505517056269964,26.8,66.48,6.73,0.007215406336872343,0,179,375,Lactococcus
Gemella,0.23447795881080005,0.05497991316807924,0.057401999663713996,0.23958714419541377,3.834024532003377e-4,0.001684745115539992,0.055333852094973664,0.9918726587726724,0.7107107107107107,NA,NA,NA,0.67,2.93,96.4,0.044054025480727566,0.7427247066886706,179,375,Gemella
Staphylococcus,0.8812668232330468,0.7766312137312662,0.7779390922946997,0.8820085556811225,0.4430853211827636,0.005388873659838618,0.32946489745209745,0.9695896099467326,0.005504136825330687,0.23339800456075607,220,-0.1707979435000495,56.96,0.69,42.35,0.0016840406879217173,0.023647402656976287,179,375,Staphylococcus
Turicibacter,0.23499209491720238,0.055221284673575455,0.05582489671747297,0.2362729284481677,0.0015010168751086468,0.03660467318717589,0.01771920665518843,0.9561628922204751,0.03803803803803804,NA,NA,NA,2.69,65.57,31.74,0.010930785972575352,0.11313877980544648,179,375,Turicibacter
Granulicatella,0.8546747947826429,0.7304690048367527,0.7368622154168819,0.8584067890090816,0.027998862519404356,0.44743077651382124,0.2614325763836563,0.821162170369426,0.0011611557565472121,0.24386723243777186,250,-0.04483570410774612,3.8,60.72,35.48,0.008752199665963856,0.0061224576254307545,179,375,Granulicatella
Enterococcus,1.8780667255700954,3.52713462569358,3.531271097565155,1.8791676608448633,2.985359313686993,0.008319622403452662,0.5375921614747093,0.9452415790208029,0,0.5803249270082085,250,-0.14059788471169687,84.54,0.24,15.22,0.0011727570139916654,0,179,375,Enterococcus
Dolosigranulum,0.40002227534991125,0.1600178207761202,0.1602860054693428,0.40035734721538807,0.05067714297049995,0.04538262337508057,0.06422623912376225,0.9071318943603839,0.011011011011011011,NA,NA,NA,31.62,28.31,40.07,0.0016759676636128873,0.044044044044044044,179,375,Dolosigranulum
Lactobacillus,1.3956110708780955,1.9477302611575047,1.9513284319301625,1.3968995783270044,0.9763557645346396,0.007731255745921407,0.9672414116496015,0.9473912062305876,6.591413698180665e-4,0.8096309253311587,250,0.1307817115418093,50.04,0.4,49.57,0.0018473660570019756,0.004024231520994511,179,375,Lactobacillus
Leuconostoc,0.9790943007330272,0.9586256497278954,0.9662638553748695,0.9829872101786826,0.058653888575629524,0.67247900004174,0.2351309667575,0.7082282681926998,1.997687777545289e-6,0.33946320713652506,250,-0.01905663713087906,6.07,69.6,24.33,0.007967871138376159,2.5747975799472613e-5,179,375,Leuconostoc
Family_XIII_AD3011_group,0.25931541460402835,0.06724448425125912,0.07165175296171897,0.2676784506861151,0.007345846552738227,0.038872295828431866,0.02543361058054888,0.9276006282052215,0.44044044044044045,NA,NA,NA,10.25,54.25,35.5,0.06554096978411028,0.5435222456499053,179,375,Family_XIII_AD3011_group
Terrisporobacter,1.4290840250986971,2.0422811507922938,2.0554704099773513,1.4336911836156876,0.272640578659064,1.0728075329007385,0.7100222984175486,0.7711225252142417,2.410400555328883e-7,0.12182194316280728,250,-0.015730727732414223,13.26,52.19,34.54,0.0064581016085571985,3.994378063116436e-6,179,375,Terrisporobacter
Paeniclostridium,0.6476056459276809,0.41939307263740877,0.42211069057980244,0.6497004621976211,0.0011266315226183135,0.26008133015132484,0.16090272890585924,0.7548504327417825,0.0029066910849697616,0.08036448334943705,190,-0.06640842387448265,0.27,61.61,38.12,0.006479882763211986,0.013487046634259692,179,375,Paeniclostridium
Intestinibacter,1.9155915433879607,3.669490961099469,3.6792083933513426,1.9181262714824963,2.6326280071409647,0.4500738768595858,0.5965065093507926,0.9353666505076632,0,0.1413586613968893,250,-0.08558492826515812,71.55,12.23,16.21,0.002648169011693735,0,179,375,Intestinibacter
Clostridioides,0.7705198784350366,0.5937008830635435,0.5983470885351919,0.7735289836426247,0.028497950154128943,0.21416665558945924,0.35568248279160375,0.9216233042054319,0.09509509509509509,NA,NA,NA,4.76,35.79,59.44,0.00782583554141536,0.19905619905619906,179,375,Clostridioides
Peptostreptococcus,0.5074451044696008,0.25750053405016404,0.2693889891236002,0.5190269637731745,1.7078466250390378e-4,0.13459564934601478,0.13462255511508156,0.7863464634729517,0.1021021021021021,NA,NA,NA,0.06,49.96,49.97,0.04616866181380486,0.2042042042042042,179,375,Peptostreptococcus
Romboutsia,0.46529581613324084,0.21650019651109867,0.22040888126558336,0.46947724254279183,7.964617688188841e-7,0.05027214095477982,0.17013594384903472,0.9709894129071733,0.24924924924924924,NA,NA,NA,0,22.81,77.19,0.018053954765275826,0.3469822763940411,179,375,Romboutsia
Solobacterium,0.43760177342406603,0.19149531210388762,0.1920321495563589,0.43821472996278765,0.0010656369091500632,0.09791692441568345,0.09304958823152537,0.8178555922672246,0.018018018018018018,NA,NA,NA,0.55,50.99,48.46,0.00280339736034918,0.06742226097064806,179,375,Solobacterium
Holdemanella,0.745269389358906,0.5554264627153965,0.5635511853539336,0.750700463136885,0.003241600646625,0.4468121276414207,0.11349745706588789,0.9539228103919233,0.023023023023023025,NA,NA,NA,0.58,79.29,20.14,0.01462789979220025,0.07854913737266679,179,375,Holdemanella
Faecalicoccus,0.7220835609070115,0.5214046689321499,0.5263552139966385,0.7255034210785215,0.0013890463759519656,0.395773472714706,0.12919269490598065,0.828524226786521,0.012012012012012012,NA,NA,NA,0.26,75.19,24.54,0.00949463125182115,0.046446446446446445,179,375,Faecalicoccus
Faecalitalea,0.7441656841371599,0.5537825654473272,0.5587066929195497,0.7474668507161704,9.321717957633184e-5,0.46553460289407916,0.09307887284589414,0.9129728859007513,0.04804804804804805,NA,NA,NA,0.02,83.32,16.66,0.008891806603273933,0.12961799008310634,179,375,Faecalitalea
[Clostridium]_innocuum_group,1.4602591746229368,2.1323568570704605,2.1463711326621637,1.465049873779785,0.5916252199919236,1.1233556785465348,0.43139023412370536,0.9465786706908446,5.955918663385756e-13,0.10025490049444064,250,-0.049671714204268955,27.56,52.34,20.1,0.00657219993231184,1.1514776082545794e-11,179,375,[Clostridium]_innocuum_group
Coprobacillus,0.9609931537307054,0.9235078415172872,0.9299139682389342,0.9643204696774482,0.006760871024850145,0.7321184464957947,0.19103465071828943,0.5843539051988145,7.251855530625122e-4,0.06732918402686988,50,0.0835146955931739,0.73,78.73,20.54,0.006936732352074149,0.004206076207762571,179,375,Coprobacillus
Erysipelotrichaceae_UCG-003,0.5058446293332854,0.25587878902532896,0.25809097769082423,0.5080265521513854,0.012191886279065195,0.046132084846857345,0.19976700656490168,0.9495169840673499,0.05405405405405406,NA,NA,NA,4.72,17.87,77.4,0.008645455428024196,0.14082167273656634,179,375,Erysipelotrichaceae_UCG-003
Erysipelatoclostridium,0.8774427838394088,0.7699058389118514,0.7734678987338561,0.8794702375486371,0.06200629057850617,0.18782546735788122,0.5236361407974688,0.9341646340813125,4.5747962928826934e-4,0.35082493184912805,250,-0.1542161281609763,8.02,24.28,67.7,0.004626617492652363,0.002948202055413291,179,375,Erysipelatoclostridium
Eubacterium,0.572487516386328,0.32774195641818615,0.33339937586146917,0.5774074608640498,6.914904089010024e-6,0.12124842982187989,0.2121440311355003,0.8975997387910496,0.17717717717717718,NA,NA,NA,0,36.37,63.63,0.017261810190894122,0.289472571162712,179,375,Eubacterium
Christensenellaceae_R-7_group,0.15795213232462404,0.024948876105895544,0.02689494267462346,0.16399677641534136,0.005894307253293457,0.0011245021569563246,0.01987613326437368,0.9245858900545376,0.6966966966966966,NA,NA,NA,21.92,4.18,73.9,0.0780021737439327,0.741031941031941,179,375,Christensenellaceae_R-7_group
Stenotrophomonas,0.23700787281581354,0.056172731776676844,0.05587180932352804,0.23637218390396117,0.007364720585576474,0.03095388635747249,0.017553202380479076,0.9283085599903617,0.17417417417417416,NA,NA,NA,13.18,55.4,31.42,0.005357091308024087,0.28863148863148863,179,375,Stenotrophomonas
Pseudomonas,0.2377493635730295,0.05652475987938057,0.05641543920204084,0.23751934490066454,0.02260313900899382,0.014346118688708089,0.019466181504338927,0.9238125401384932,0.07607607607607608,NA,NA,NA,40.07,25.43,34.51,0.0019340316981976136,0.1753125674694302,179,375,Pseudomonas
Halomonas,0.22419124105668187,0.050261712566535235,0.05258203218659556,0.22930772378311978,0.007467477287770219,0.005673127019200268,0.03944142787962507,0.9402105761213803,0.5095095095095095,NA,NA,NA,14.2,10.79,75.01,0.046164754473670966,0.5970010414454858,179,375,Halomonas
8_Comamonadaceae(F),0.16014711061052392,0.025647097036899383,0.025146532869300194,0.1585765836096244,0.012880632253371311,3.6545983686265936e-4,0.011900440779066221,0.9441312595152862,0.22522522522522523,NA,NA,NA,51.22,1.45,47.32,0.01951738112422663,0.343764817449028,179,375,8_Comamonadaceae(F)
Delftia,0.412329833510688,0.17001589160295172,0.17108930357879656,0.41362942784429224,8.499039797282397e-6,0.11446578865109372,0.056615015887905566,0.9573665371930612,0.14614614614614616,NA,NA,NA,0,66.9,33.09,0.0063135978979638185,0.267960267960268,179,375,Delftia
Sutterella,0.4164313073784088,0.17341503376489079,0.17664907157136867,0.4202964091821017,0.035690868821476006,0.025087730180572792,0.11587047256931989,0.8299769394693212,0.08508508508508508,NA,NA,NA,20.2,14.2,65.59,0.018649120184484502,0.18980518980518982,179,375,Sutterella
Haemophilus,1.1608996013172548,1.3476878843385611,1.3482350788404063,1.1611352543267328,0.6640590366435007,0.13061595345338203,0.5535600887435235,0.9380597149526124,2.2483973355725086e-5,0.7750957568348348,250,-0.025305319584579017,49.25,9.69,41.06,4.060246502206599e-4,2.1734507577200914e-4,179,375,Haemophilus
9_Pasteurellaceae(F),0.2888516141473567,0.08343525499553345,0.08132780158347053,0.28518029662560934,0.018635413355701666,0.030757042043909014,0.03193534618385984,0.8677559894913937,0.2962962962962963,NA,NA,NA,22.91,37.82,39.27,0.025258548226115396,0.3905723905723905,179,375,9_Pasteurellaceae(F)
Acinetobacter,0.1441044837280578,0.020766102230530072,0.021087112941124447,0.14521402460204885,0.012132556093962108,3.270389927312877e-4,0.008627517854431051,0.9879337714318055,0.5675675675675675,NA,NA,NA,57.54,1.55,40.91,0.015458399801308254,0.6261588691495232,179,375,Acinetobacter
Bilophila,0.5488983083337117,0.3012893528916104,0.2993112202557744,0.5470934291835119,0.05504854581096275,0.10770681252089256,0.13655586192391908,0.8638659351983383,0.057057057057057055,NA,NA,NA,18.39,35.98,45.62,0.006565557716696535,0.14082167273656634,179,375,Bilophila
Fusobacterium,0.4446097390452542,0.19767782005388904,0.20072594800718468,0.44802449487409135,0.0023366671123811176,0.09910469277831829,0.09928458811648529,0.8986606187878522,0.05905905905905906,NA,NA,NA,1.16,49.37,49.46,0.015419676079312827,0.14272605939272606,179,375,Fusobacterium
Brevundimonas,0.23659443366614097,0.05597692604180198,0.057073373822393234,0.23890034286788547,0.020602365565025867,0.0046395193135892535,0.03183148894377811,0.8979555732641851,0.15015015015015015,NA,NA,NA,36.1,8.13,55.77,0.019587495386446552,0.267960267960268,179,375,Brevundimonas
Akkermansia,0.9978670281980377,0.9957386059647835,1.0036983169710603,1.0018474519461833,0.01347103373886705,0.37924576308935026,0.6109815201428429,0.8811735726550363,2.519306922799114e-4,0.39357387592602594,250,0.03375557795653386,1.34,37.78,60.87,0.007993775634082656,0.0020874257360335518,179,375,Akkermansia
Blastococcus,0.20006875200415553,0.04002750552850028,0.04041820327193012,0.2010427896541682,0.007264301231449717,0.018685837561629042,0.01446806447885136,0.9321792366640004,0.16116116116116116,NA,NA,NA,17.97,46.23,35.8,0.009760731733623684,0.2832529499196166,179,375,Blastococcus
Corynebacterium,0.7429308821786372,0.5519462956947282,0.5534088873633836,0.7439145699362149,0.2215460207766832,0.07729937361412245,0.2545634929725779,0.9114109565773446,1.1394883106424676e-4,0.9631041372936545,250,-0.028378486661730484,40.03,13.97,46,0.002649880396089044,0.001016774184880971,179,375,Corynebacterium
Lawsonella,0.29761051068365885,0.08857201606938822,0.09104907233618456,0.30174338822281516,0.0034964336711417036,0.0012030724451661007,0.08634956621987676,0.7915986868536835,0.23323323323323322,NA,NA,NA,3.84,1.32,94.84,0.02796657879906217,0.3468596801930135,179,375,Lawsonella
Cutibacterium,0.5061043091169843,0.25614157170678004,0.2545579315936118,0.5045373441021108,0.04916281875977321,0.08938568713815062,0.11600942569568796,0.74701483866275,0.004344553832304165,0.08876250512381434,240,-0.0876837871106636,19.31,35.11,45.57,0.00618267508321968,0.01938339402104935,179,375,Cutibacterium
Actinomyces,0.47289382672064717,0.22362857135049746,0.2210709809957223,0.4701818594923908,0.015734380612087522,0.0563601276565356,0.14897647272709919,0.9846915369110447,0.2732732732732733,NA,NA,NA,7.12,25.49,67.39,0.011436778133177783,0.3686011592988337,179,375,Actinomyces
Varibaculum,0.268734600210831,0.07221828535047517,0.07177069029264271,0.26790052312872165,0.011691814372485912,0.012193928696309673,0.047884947223847125,0.9883257524169973,0.6576576576576577,NA,NA,NA,16.29,16.99,66.72,0.006197807877330264,0.7063730397063732,179,375,Varibaculum
Dermabacter,0.3315184393934133,0.10990447565784425,0.10832718432061905,0.32913095314877183,0.025703028203614853,0.008702140805758892,0.07392201531124531,0.9073627501027132,0.24224224224224225,NA,NA,NA,23.73,8.03,68.24,0.01435147502214229,0.3469822763940411,179,375,Dermabacter
Actinotignum,0.2747430641541541,0.07548375130081364,0.07303701908757146,0.27025361993426,0.018805677635105347,0.010351333004886883,0.04388000844757923,0.8754237599217138,0.3233233233233233,NA,NA,NA,25.75,14.17,60.08,0.03241402515213643,0.4205983761539317,179,375,Actinotignum
Rothia,0.7068444225615165,0.49962903770632366,0.4995819116669561,0.7068110862648916,0.0607550897006812,0.023040895158033425,0.41578592680824145,0.9594461844087411,0.057057057057057055,NA,NA,NA,12.16,4.61,83.23,9.432205858950216e-5,0.14082167273656634,179,375,Rothia
Parabacteroides,0.9918269011617615,0.9837206018681427,0.9860219965677407,0.992986403012519,0.25893513487651587,0.11869068192593689,0.6083961797652879,0.9361778820945872,0.03303303303303303,NA,NA,NA,26.26,12.04,61.7,0.0023394800263687454,0.1008376797850482,179,375,Parabacteroides
